,city,suburb,latitude,longitude,property_type,room_type,bedrooms,beds,price,minimum_nights,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,cancellation_policy,calculated_host_listings_count,reviews_per_month,count
1936,Moreland,BRUNSWICK,-37.76673439,144.969345,House,Private room,1.0,1.0,50,7,29,59,89,0,,strict_14_with_grace_period,89,,440
1937,Moreland,BRUNSWICK,-37.76599992,144.9691095,House,Private room,1.0,2.0,71,7,29,59,89,0,,strict_14_with_grace_period,89,,440
1938,Moreland,BRUNSWICK,-37.76490863,144.96945669999997,House,Private room,1.0,1.0,50,7,29,59,89,1,60.0,strict_14_with_grace_period,89,0.1,440
1939,Moreland,BRUNSWICK,-37.76461226,144.970465,House,Private room,1.0,1.0,50,7,29,59,89,0,,strict_14_with_grace_period,89,,440
1940,Moreland,BRUNSWICK,-37.76615256,144.9705034,House,Private room,1.0,1.0,50,7,29,59,89,0,,strict_14_with_grace_period,89,,440
1941,Moreland,BRUNSWICK,-37.7651321,144.9710349,House,Private room,1.0,1.0,50,7,29,59,89,0,,strict_14_with_grace_period,89,,440
1942,Moreland,BRUNSWICK,-37.77113593,144.9528555,Apartment,Private room,1.0,1.0,30,1,0,0,0,0,,flexible,1,,440
1943,Moreland,BRUNSWICK,-37.7651063,144.9693975,House,Private room,1.0,1.0,50,7,29,59,89,2,80.0,strict_14_with_grace_period,89,0.14,440
1944,Moreland,BRUNSWICK,-37.76657926,144.9709626,House,Private room,1.0,1.0,50,7,29,59,89,2,80.0,strict_14_with_grace_period,89,0.18,440
1945,Moreland,BRUNSWICK,-37.75518559,144.965163,House,Private room,0.0,1.0,43,3,0,1,31,18,83.0,moderate,2,0.91,440
1946,Moreland,BRUNSWICK,-37.77656218,144.9520124,House,Entire home/apt,2.0,2.0,199,30,23,53,83,6,100.0,moderate,1,0.36,440
1947,Moreland,BRUNSWICK,-37.77777381,144.96317480000002,Apartment,Entire home/apt,1.0,1.0,90,1,10,15,15,91,98.0,moderate,1,4.76,440
1948,Moreland,BRUNSWICK,-37.76366841,144.967175,House,Entire home/apt,1.0,1.0,100,2,0,0,0,1,100.0,moderate,2,0.09,440
